time,r1_x,r1_y,r2_x,r2_y,r3_x,r3_y
2.7802186012268066,0.002786420135244126,2.1120430467980978e-05,4.002777265401812,8.00002106650818,-7.997218039863176,-5.999978905840206
2.8801815509796143,0.00278876750281299,2.1134257082767005e-05,4.002779612769322,8.000021080334156,-7.9972156924956375,-5.999978892013904
2.9802350997924805,0.002791114870396981,2.1148083861641174e-05,4.002781960136844,8.000021094160296,-7.997213345128082,-5.999978878187436
3.0803163051605225,0.002793462237996064,2.1161910804431492e-05,4.002784307504383,8.000021107986594,-7.9972109977605115,-5.999978864360806
3.1804869174957275,0.0027958096056102666,2.117573791130776e-05,4.002786654871938,8.000021121813061,-7.997208650392924,-5.99997885053401
3.28059983253479,0.002798156973239603,2.118956518244065e-05,4.002789002239509,8.000021135639694,-7.997206303025323,-5.999978836707053
3.380187511444092,0.002749799110729749,2.2170226060927965e-05,4.002738919242925,8.000020077327113,-7.992627908942545,-5.999982169395258
3.4803009033203125,0.002817099948339022,2.173903280139073e-05,4.002805153059905,8.000020753389359,-7.9444573077762115,-5.999476306826189
3.5804097652435303,0.0028205079276827083,2.2264518386966303e-05,4.002808556276391,8.000020246216632,-7.886840962504125,-5.9969813527809
3.6801204681396484,0.0028238247168293346,2.309231898161429e-05,4.002811866473901,8.000019435878738,-7.82247495702676,-5.992205778512024
3.7800097465515137,0.0028270174428215583,2.4207044985666282e-05,4.0028150522480255,8.000018337408312,-7.748567939223973,-5.9853454011187015
3.8800716400146484,0.0028300590069508316,2.559023064451979e-05,4.002818088124626,8.000016968649692,-7.6895412481144145,-5.978024493794614
3.980149507522583,0.002832928712521679,2.7222389390662433e-05,4.002820954970394,8.00001534829626,-7.630619915621873,-5.969554071066162
4.080408096313477,0.0028356118032798333,2.9084993688581473e-05,4.002823639373054,8.00001349406558,-7.571722229212838,-5.960101931310008
4.180065631866455,0.0028380979396340836,3.116184024774815e-05,4.002826132007533,8.000011421490857,-7.51287319804939,-5.949813116101575
4.280115842819214,0.0028403790361207007,3.343940592253486e-05,4.002828425366162,8.000009143682329,-7.45408621216452,-5.938811469689618
4.380265474319458,0.00284244712909916,3.590614346172388e-05,4.002830511494327,8.0000066721099,-7.395367112301771,-5.927202638464353
4.480220079421997,0.002844292861753646,3.855101417293144e-05,4.002832380361657,8.000004018141938,-7.336716826833875,-5.915076625021844
4.580296277999878,0.0028459048390357955,4.1361706530268494e-05,4.002834019228138,8.000001194910428,-7.278133703052648,-5.902509917916189
4.680173873901367,0.0028472697929189834,4.432293370883883e-05,4.002835413030848,7.999998219075211,-7.21961506599355,-5.889564223894536
4.78009033203125,0.0028483733878447402,4.74150924836686e-05,4.00283654559176,7.999995112126963,-7.161154794440417,-5.876293948256147
4.880198240280151,0.0028492015069238198,5.061350201494147e-05,4.002837401340477,7.999991900950888,-7.10274724915306,-5.862747494491589
4.980059385299683,0.0028497418331036636,5.3888376813575334e-05,4.0028379671948695,7.999988617511161,-7.0443869035781015,-5.848966289346775
5.080032587051392,0.0028499854644634046,5.720556563724999e-05,4.0028382342416275,7.999985297712524,-6.986068423955412,-5.834985513774821
